Species	Woodiness
Acacia trachycarpa	woody
Acacia trachyphloia	woody
Acacia tratmaniana	woody
Acacia trinervata	woody
Acacia trineura	woody
Acacia triptera	woody
Acacia triquetra	woody
Acacia tropica	woody
Acacia truncata	woody
Acacia tucumanensis	woody
Acacia tumida	woody
Acacia ulicifolia	woody
Acacia ulicina	woody
Acacia umbellata	woody
Acacia uncinata	woody
Acacia undosa	woody
Acacia undulifolia	woody
Acacia urophylla	woody
Acacia velutina	not assigned
Acacia venulosa	woody
Acacia verek	woody
Acacia vermicularis	not assigned
Acacia verniciflua	woody
Acacia veronica	woody
Acacia verticillata	woody
Acacia vestita	woody
Acacia victoriae	woody
Acacia viguieri	woody
Acacia viscidula	woody
Acacia visco	woody
Acacia vittata	woody
Acacia vypres	not assigned
Acacia wattsiana	woody
Acacia welwitschii	woody
Acacia whibleyana	woody
Acacia wilhelmiana	woody
Acacia willardiana	woody
Acacia williamsiana	woody
Acacia wrightii	woody
Acacia xanthophloea	woody
Acacia xiphophylla	woody
Acacia yorkrakinensis	woody
Acacia zanzibarica	woody
Acaciella angustissima	woody
Acaena adenocarpa	not assigned
Acaena agnipila	herbaceous
Acaena alpina	woody
Acaena anserinifolia	herbaceous
Acaena antarctica	herbaceous
Acaena argentea	herbaceous
Acaena caesiiglauca	herbaceous
Acaena confertissima	not assigned
Acaena echinata	herbaceous
Acaena fissistipula	herbaceous
Acaena integerrima	herbaceous
Acaena leptacantha	herbaceous
Acaena lucida	herbaceous
Acaena macrocephala	not assigned
Acaena magellanica	herbaceous
Acaena multifida	herbaceous
Acaena novae-zelandiae	herbaceous
Acaena ovalifolia	herbaceous
Acaena ovina	herbaceous
Acaena pallida	herbaceous
Acaena pinnatifida	herbaceous
Acaena platyacantha	not assigned
Acaena pseudopoeppigiana	not assigned
Acaena rahuensis	not assigned
Acaena sericea	herbaceous
Acaena skottsbergii	not assigned
Acaena splendens	herbaceous
Acaena subnitens	not assigned
Acaena tehuelcha	not assigned
Acaena tenera	herbaceous
Acaena trifida	not assigned
Acalypha acrogyna	woody
Acalypha allenii	herbaceous
Acalypha ambigua	herbaceous
Acalypha argentira	not assigned
Acalypha arvensis	herbaceous
Acalypha australis	herbaceous
Acalypha bipartita	woody
Acalypha brachystachya	herbaceous
Acalypha caperonioides	herbaceous
Acalypha caturus	woody
Acalypha chirindica	woody
Acalypha ciliata	herbaceous
Acalypha cincta	woody
Acalypha claoxyloides	woody
Acalypha clutioides	woody
Acalypha communis	herbaceous
Acalypha compacta	woody
Acalypha crenata	conflicting (herbaceous vs. woody)
Acalypha cuneata	not assigned
Acalypha decaryana	not assigned
Acalypha dikuluwensis	woody
Acalypha diversifolia	woody
Acalypha filipes	herbaceous
Acalypha fimbriata	herbaceous
Acalypha fruticosa	woody
Acalypha fuscescens	herbaceous
Acalypha glabrata	woody
Acalypha grandis	woody
Acalypha hamiltoniana	woody
Acalypha havanensis	herbaceous
Acalypha hispida	woody
Acalypha indica	herbaceous
Acalypha lanceolata	conflicting (herbaceous vs. woody)
