Species	PFT
Acacia fragilis	not assigned (shrub)
Acacia frigescens	not assigned (shrub/tree)
Acacia fulva	not assigned (tree)
Acacia galeata	not assigned (shrub/tree)
Acacia genistifolia	not assigned
Acacia georgensis	not assigned (shrub/tree)
Acacia georginae	not assigned (tree)
Acacia gillii	not assigned (shrub/tree)
Acacia gladiiformis	not assigned (tree)
Acacia glandulicarpa	not assigned (tree)
Acacia glaucissima	not assigned (shrub)
Acacia glaucocarpa	not assigned (tree)
Acacia gnidium	not assigned (tree)
Acacia gonocarpa	not assigned (shrub/tree)
Acacia gonoclada	not assigned (shrub)
Acacia gordonii	not assigned (tree)
Acacia gracilifolia	not assigned (shrub)
Acacia granitica	not assigned (tree)
Acacia grasbyi	not assigned (tree)
Acacia grisea	not assigned (shrub)
Acacia gunnii	not assigned (tree)
Acacia hakeoides	not assigned (shrub)
Acacia hamersleyensis	not assigned (shrub/tree)
Acacia hamiltoniana	not assigned (shrub)
Acacia hammondii	not assigned (shrub)
Acacia harpophylla	not assigned (tree)
Acacia harveyi	not assigned (shrub)
Acacia havilandiorum	not assigned (shrub/tree)
Acacia hemignosta	not assigned (tree)
Acacia hemiteles	not assigned (tree)
Acacia hemsleyi	not assigned (tree)
Acacia heterochroa	not assigned (shrub)
Acacia heteroclita	not assigned (tree)
Acacia heterophylla	not assigned (legume?)
Acacia hilliana	not assigned (shrub)
Acacia hispidula	not assigned (tree)
Acacia holosericea	not assigned (shrub/tree)
Acacia homalophylla	not assigned (tree)
Acacia howittii	not assigned (tree)
Acacia hubbardiana	not assigned (shrub)
Acacia huegelii	not assigned (shrub/tree)
Acacia humifusa	not assigned (tree)
Acacia hyaloneura	not assigned (shrub/tree)
Acacia imbricata	not assigned (shrub)
Acacia implexa	not assigned (shrub/tree)
Acacia inaequilatera	not assigned (tree)
Acacia incanicarpa	not assigned (shrub)
Acacia inceana	not assigned (shrub)
Acacia ingramii	not assigned (shrub/tree)
Acacia inophloia	not assigned (tree)
Acacia insolita	not assigned (tree)
Acacia irrorata	not assigned (shrub/tree)
Acacia iteaphylla	not assigned (tree)
Acacia ixiophylla	not assigned (tree)
Acacia jennerae	not assigned (tree)
Acacia jonesii	not assigned (shrub)
Acacia jucunda	not assigned (shrub)
Acacia julifera	not assigned (shrub/tree)
Acacia juncifolia	not assigned (tree)
Acacia kempeana	not assigned (shrub/tree)
Acacia kettlewelliae	not assigned (tree)
Acacia koa	not assigned (tree)
Acacia kybeanensis	not assigned (shrub)
Acacia kydrensis	not assigned (shrub)
Acacia laccata	not assigned (tree)
Acacia lachnophylla	not assigned (shrub)
Acacia lamprocarpa	not assigned (tree)
Acacia lanigera	not assigned (tree)
Acacia lasiocalyx	not assigned (tree)
Acacia lasiocarpa	not assigned (shrub)
Acacia lateriticola	not assigned (tree)
Acacia latescens	not assigned (tree)
Acacia latipes	not assigned (shrub)
Acacia latisepala	not assigned (tree)
Acacia latzii	not assigned (tree)
Acacia legnota	not assigned (tree)
Acacia leiocalyx	not assigned (tree)
Acacia leiophylla	not assigned (tree)
Acacia leprosa	not assigned (tree)
Acacia leptocarpa	not assigned (tree)
Acacia leptoclada	not assigned (tree)
Acacia leptopetala	not assigned (shrub)
Acacia leptospermoides	not assigned (shrub)
Acacia leptostachya	not assigned (shrub/tree)
Acacia leucoclada	not assigned (tree)
Acacia leucolobia	not assigned (shrub)
Acacia ligulata	not assigned (shrub/tree)
Acacia ligustrina	not assigned (shrub/tree)
Acacia linearifolia	not assigned (shrub/tree)
Acacia lineata	not assigned (shrub)
Acacia lineolata	not assigned (tree)
Acacia linifolia	not assigned (shrub)
Acacia lirellata	not assigned (tree)
Acacia loderi	not assigned (tree)
Acacia longifolia	not assigned
Acacia longispicata	not assigned (tree)
Acacia longispinea	not assigned (tree)
Acacia longissima	not assigned (shrub)
Acacia lucasii	not assigned (shrub)
Acacia lunata	not assigned (tree)
Acacia lysiphloia	not assigned (tree)
Acacia mabellae	not assigned (tree)
Acacia macnuttiana	not assigned (tree)
Acacia maconochieana	not assigned (tree)
Acacia macradenia	not assigned (tree)
Acacia maidenii	not assigned (tree)
Acacia maitlandii	not assigned (tree)
Acacia mangium	not assigned (tree)
Acacia matthewii	not assigned (shrub/tree)
Acacia mearnsii	not assigned (tree)
Acacia megacephala	not assigned (tree)
Acacia meiantha	not assigned (tree)
Acacia meisneri	not assigned (tree)
Acacia melanoxylon	not assigned (tree)
Acacia melleodora	not assigned (shrub)
Acacia melvillei	not assigned (tree)
Acacia menzelii	not assigned (shrub)
Acacia merrallii	not assigned (tree)
Acacia merrickiae	not assigned (shrub)
Acacia microbotrya	not assigned (tree)
Acacia microcarpa	not assigned (tree)
Acacia mimula	not assigned (tree)
Acacia minutifolia	not assigned (shrub)
Acacia mitchellii	not assigned (tree)
Acacia mollifolia	not assigned (tree)
Acacia mollis	not assigned (tree)
Acacia montana	not assigned (tree)
Acacia monticola	not assigned (tree)
Acacia mountfordiae	not assigned (shrub)
Acacia mucronata	not assigned (tree)
Acacia muelleriana	not assigned (shrub/tree)
Acacia multisiliqua	not assigned (shrub/tree)
Acacia multispicata	not assigned (tree)
Acacia murrayana	not assigned (tree)
Acacia mutabilis	not assigned (shrub)
Acacia myrtifolia	not assigned (shrub)
Acacia nanodealbata	not assigned (shrub/tree)
Acacia nematophylla	not assigned (shrub)
Acacia neriifolia	not assigned (shrub/tree)
Acacia nervosa	not assigned (tree)
Acacia neurocarpa	not assigned (shrub/tree)
Acacia neurophylla	not assigned (tree)
Acacia nigripilosa	not assigned (shrub)
Acacia nodiflora	not assigned (tree)
Acacia notabilis	not assigned (tree)
Acacia obliquinervia	not assigned (tree)
Acacia obtusata	not assigned (tree)
Acacia obtusifolia	not assigned (tree)
Acacia olgana	not assigned (tree)
Acacia olsenii	not assigned (shrub/tree)
Acacia oncinocarpa	not assigned (shrub/tree)
Acacia ophiolithica	not assigned (tree)
Acacia oraria	not assigned (tree)
Acacia orites	not assigned (tree)
Acacia oshanesii	not assigned (tree)
Acacia oswaldii	not assigned
Acacia oxycedrus	not assigned (shrub)
Acacia pachycarpa	not assigned (tree)
Acacia papulosa	not assigned (shrub)
Acacia papyrocarpa	not assigned (tree)
Acacia paradoxa	not assigned
Acacia parramattensis	not assigned (tree)
Acacia parvipinnula	not assigned (tree)
Acacia pedina	not assigned (shrub/tree)
Acacia pellita	not assigned (tree)
Acacia pendula	not assigned (tree)
Acacia penninervis	not assigned (tree)
Acacia pentadenia	not assigned (tree)
Acacia peuce	not assigned (tree)
Acacia phaeocalyx	not assigned (tree)
Acacia phasmoides	not assigned (tree)
